role,company,ai_related
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
NA,NA,False
Institute Professor,MIT,False
Institute Professor,MIT,False
Author/Founder,Stratechery,False
Author/Founder,Stratechery,False
Author/Founder,Stratechery,False
Author/Founder,Stratechery,False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
Founder,"Blueprint, Zeroism, KernelCo, OSFund, Braintree, Venmo",False
NA,Superhi,False
NA,Superhi,False
NA,Superhi,False
NA,Superhi,False
Founder,Idealab,False
Founder,Idealab,False
Founder,Idealab,False
President Emeritus,CFR,False
President Emeritus,CFR,False
NA,NA,False
Publisher,Skeptic Magazine,False
NA,NA,False
"Student, practitioner of AI",Vianai Systems,True
"Student, practitioner of AI",Vianai Systems,True
NA,NA,False
NA,NA,False
